group_id,group_name,member_id,member_gen,member_name,color_code
1,モーニング娘。,1,1,福田明日香,NA
2,モーニング娘。,2,1,石黒彩,NA
3,モーニング娘。,3,1,中澤裕子,#006400
4,モーニング娘。,4,1,安倍なつみ,#FF0000
5,モーニング娘。,5,1,飯田圭織,#000080
6,モーニング娘。,6,2,市井紗耶香,#87CEEB
7,モーニング娘。,7,2,保田圭,#FFB6C1
8,モーニング娘。,8,2,矢口真里,#9370DB
9,モーニング娘。,9,3,後藤真希,#FFA500
10,モーニング娘。,10,4,辻希美,NA
11,モーニング娘。,11,4,加護亜依,NA
12,モーニング娘。,12,4,石川梨華,#FF1493
13,モーニング娘。,13,4,吉澤ひとみ,#800080
14,モーニング娘。,14,5,紺野あさ美,#FFB6C1
15,モーニング娘。,15,5,小川麻琴,#0000FF
16,モーニング娘。,16,5,高橋愛,#FFFF00
17,モーニング娘。,17,5,新垣里沙,#ADFF2F
18,モーニング娘。,18,6,藤本美貴,#FF0000
19,モーニング娘。,19,6,亀井絵里,#FFA500
20,モーニング娘。,20,6,田中れいな,#00BFFF
21,モーニング娘。,21,6,道重さゆみ,#FFB6C1
22,モーニング娘。,22,7,久住小春,#FF0000
23,モーニング娘。,23,8,光井愛佳,#985BA1
24,モーニング娘。,24,8,ジュンジュン,#0000FF
25,モーニング娘。,25,8,リンリン,#00B379
26,モーニング娘。,26,9,譜久村聖,#E5007F
27,モーニング娘。,27,9,生田衣梨奈,#ADFF2F
28,モーニング娘。,28,9,鞘師里保,#FF0000
29,モーニング娘。,29,9,鈴木香音,#008000
30,モーニング娘。,30,10,飯窪春菜,#FFF33F
31,モーニング娘。,31,10,石田亜佑美,#0233CB
32,モーニング娘。,32,10,佐藤優樹,#00A59E
33,モーニング娘。,33,10,工藤遥,#FFA500
34,モーニング娘。,34,11,小田さくら,#985BA1
35,モーニング娘。,35,12,尾形春水,#56BED9
36,モーニング娘。,36,12,野中美希,#572A7B
37,モーニング娘。,37,12,牧野真莉愛,#FFC0CB
38,モーニング娘。,38,12,羽賀朱音,#FFA500
39,モーニング娘。,39,13,加賀楓,#DB092C
40,モーニング娘。,40,13,横山玲奈,#EDAE3C
41,モーニング娘。,41,14,森戸知沙希,#FFFFFF
42,モーニング娘。,42,15,北川莉央,#56BED9
43,モーニング娘。,43,15,岡村ほまれ,#FFDD00
44,モーニング娘。,44,15,山﨑愛生,#02A23E
45,モーニング娘。,45,16,櫻井梨央,#E8D3CA
1,アンジュルム,1,1,和田彩花,#FF0000
2,アンジュルム,2,1,前田憂佳,#FFB6C1
3,アンジュルム,3,1,福田花音,#E5007F
4,アンジュルム,4,1,小川紗季,#ACDD4D
5,アンジュルム,5,2,中西香菜,#F1D1D4
6,アンジュルム,6,2,小数賀芙由香,#FFA500
7,アンジュルム,7,2,竹内朱莉,#0F2D9E
8,アンジュルム,8,2,勝田里奈,#FFA500
9,アンジュルム,9,2,田村芽実,#7D4A94
10,アンジュルム,10,3,室田瑞希,#007EC7
11,アンジュルム,11,3,相川茉穂,#228B22
12,アンジュルム,12,3,佐々木莉佳子,#FFD700
13,アンジュルム,13,4,上國料萌衣,#7FFFD4
14,アンジュルム,14,5,笠原桃奈,#E5007F
15,アンジュルム,15,6,船木結,#ACDD4D
16,アンジュルム,16,6,川村文乃,#DDA0DD
17,アンジュルム,17,7,太田遥香,#00B379
18,アンジュルム,18,7,伊勢鈴蘭,#FFA500
19,アンジュルム,19,8,橋迫鈴,#FF0000
20,アンジュルム,20,9,川名凜,#008000
21,アンジュルム,21,9,為永幸音,#FFC0CB
22,アンジュルム,22,9,松本わかな,#FFFFFF
23,アンジュルム,23,10,平山遊季,#ACDD4D
1,Juice=Jice,1,1,宮崎由加,#FFC0CB
2,Juice=Jice,2,1,金澤朋子,#FF0000
3,Juice=Jice,3,1,高木紗友希,#FFFF00
4,Juice=Jice,4,1,大塚愛菜,#FFA500
5,Juice=Jice,5,1,宮本佳林,#8F48C9
6,Juice=Jice,6,1,植村あかり,#7FFF00
7,Juice=Jice,7,2,梁川奈々美,#1B81C1
8,Juice=Jice,8,2,段原瑠々,#FFA500
9,Juice=Jice,9,3,稲場愛香,#E5007F
10,Juice=Jice,10,4,工藤由愛,#FFC0CB
11,Juice=Jice,11,4,松永里愛,#0402FD
12,Juice=Jice,12,5,井上玲音,#FFFFFF
13,Juice=Jice,13,6,有澤一華,#9BDCFA
14,Juice=Jice,14,6,入江里咲,#E0ADFC
15,Juice=Jice,15,6,江端妃咲,#FEDC01
16,Juice=Jice,16,7,石山咲良,#9966FF
17,Juice=Jice,17,7,遠藤彩加里,#49B9AB
1,つばきファクトリー,1,1,山岸理子,#BDF53A
2,つばきファクトリー,2,1,小片リサ,#FD9556
3,つばきファクトリー,3,1,新沼希空,#90F2FB
4,つばきファクトリー,4,1,谷本安美,#E0ADFC
5,つばきファクトリー,5,1,岸本ゆめの,#FDEB3F
6,つばきファクトリー,6,1,浅倉樹々,#FEC1BE
7,つばきファクトリー,7,2,小野瑞歩,#1BC6AE
8,つばきファクトリー,8,2,小野田紗栞,#FEB4F8
9,つばきファクトリー,9,2,秋山眞緒,#FF6361
10,つばきファクトリー,10,3,河西結心,#9966FF
11,つばきファクトリー,11,3,八木栞,#F36806
12,つばきファクトリー,12,3,福田真琳,#0402FD
13,つばきファクトリー,13,3,豫風瑠乃,#FEBD01
1,BEYOOOOONDS,1,1,一岡伶奈,#9BECFF
2,BEYOOOOONDS,2,1,島倉りか,#975AA0
3,BEYOOOOONDS,3,1,西田汐里,#E3197F
4,BEYOOOOONDS,4,1,江口紗耶,#FEDC01
5,BEYOOOOONDS,5,1,高瀬くるみ,#49B9AB
6,BEYOOOOONDS,6,1,前田こころ,#48BBEC
7,BEYOOOOONDS,7,1,山﨑夢羽,#EE282A
8,BEYOOOOONDS,8,1,岡村美波,#FF80AD
9,BEYOOOOONDS,9,1,清野桃々姫,#F36806
10,BEYOOOOONDS,10,1,平井美葉,#491B7E
11,BEYOOOOONDS,11,1,小林萌花,#01824C
12,BEYOOOOONDS,12,1,里吉うたの,#0069B5
1,OCHA NORMA,1,1,米村姫良々,#EE282A
2,OCHA NORMA,2,1,石栗奏美,#F36806
3,OCHA NORMA,3,1,窪田七海,#FF80AD
4,OCHA NORMA,4,1,斉藤円香,#48BBEC
5,OCHA NORMA,5,1,中山夏月姫,#FFFFFF
6,OCHA NORMA,6,1,広本瑠璃,#FDEB3F
7,OCHA NORMA,7,1,西﨑美空,#491B7E
8,OCHA NORMA,8,1,北原もも,#BDF53A
9,OCHA NORMA,9,1,田代すみれ,#E0ADFC
10,OCHA NORMA,10,1,筒井澪心,#0402FD
